epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.8989546895027161,0.27385765314102173,0.9837662577629089,0.09014322608709335,0.0010000000474974513
2,0.9912891983985901,0.06548181176185608,0.9853895902633667,0.047020189464092255,0.0010000000474974513
3,0.995121955871582,0.03730445355176926,0.9935064911842346,0.03185418248176575,0.0010000000474974513
4,0.9972125291824341,0.024947280064225197,0.9967532753944397,0.024022672325372696,0.0010000000474974513
5,0.9982578158378601,0.017708800733089447,0.9967532753944397,0.019870547577738762,0.0010000000474974513
6,1.0,0.014372546225786209,0.9983766078948975,0.01609237678349018,0.0010000000474974513
7,0.9996515512466431,0.011599134653806686,0.9983766078948975,0.01348678208887577,0.0010000000474974513
8,0.9996515512466431,0.00993338506668806,0.9983766078948975,0.011888300068676472,0.0010000000474974513
9,1.0,0.0086312685161829,0.9983766078948975,0.010478617623448372,0.0010000000474974513
10,0.998606264591217,0.008588525466620922,0.9983766078948975,0.009360319934785366,0.0010000000474974513
11,0.998606264591217,0.0073336390778422356,0.9983766078948975,0.008318765088915825,0.0010000000474974513
12,0.9996515512466431,0.0059631578624248505,0.9983766078948975,0.00808621197938919,0.0010000000474974513
