epoch,accuracy,loss,val_accuracy,val_loss,learning_rate,epoch_seconds,phase
1,0.5707316994667053,1.152930498123169,0.7305194735527039,0.7899894118309021,0.0010000000474974513,146.39895009999964,phase1
2,0.7414634227752686,0.7161568999290466,0.8116883039474487,0.6210786700248718,0.0010000000474974513,172.16532199999983,phase1
3,0.793728232383728,0.5913792252540588,0.8344155550003052,0.5339787602424622,0.0010000000474974513,153.0409754000002,phase1
4,0.8195121884346008,0.5053063631057739,0.8603895902633667,0.4612482786178589,0.0010000000474974513,175.50115670000014,phase1
5,0.8229964971542358,0.4809349477291107,0.8766233921051025,0.4115859866142273,0.0010000000474974513,266.95496679999997,phase1
6,0.8578397035598755,0.4192020893096924,0.8896104097366333,0.4235665500164032,0.0010000000474974513,116.95206959999996,phase1
7,0.8578397035598755,0.41266945004463196,0.8344155550003052,0.4377368688583374,0.0010000000474974513,133.80791109999973,phase1
8,0.8717769980430603,0.36617711186408997,0.8863636255264282,0.37833696603775024,0.0010000000474974513,127.24294959999952,phase1
9,0.8787456154823303,0.356029212474823,0.8928571343421936,0.3516070246696472,0.0010000000474974513,124.7626205000006,phase1
10,0.888501763343811,0.3320271372795105,0.8831169009208679,0.3482738733291626,0.0010000000474974513,134.1768361000013,phase1
11,0.8752613067626953,0.3385525643825531,0.8863636255264282,0.3490678369998932,0.0010000000474974513,125.72553300000072,phase1
12,0.8878048658370972,0.31694668531417847,0.8733766078948975,0.3690308630466461,0.0010000000474974513,126.13219670000035,phase1
13,0.8996515870094299,0.29916825890541077,0.9123376607894897,0.29800769686698914,0.0010000000474974513,126.55382649999956,phase1
14,0.8940766453742981,0.3119073510169983,0.9025974273681641,0.30369824171066284,0.0010000000474974513,123.76214000000073,phase1
15,0.894773542881012,0.31749027967453003,0.9058441519737244,0.32564815878868103,0.0010000000474974513,132.80108990000008,phase1
16,0.9128919839859009,0.2802491784095764,0.8896104097366333,0.311920166015625,0.0010000000474974513,119.16479009999966,phase1
17,0.9198606014251709,0.24608983099460602,0.9090909361839294,0.28179872035980225,0.0003000000142492354,146.024180299999,phase1
18,0.9233449697494507,0.2551843523979187,0.9220778942108154,0.27901700139045715,0.0003000000142492354,121.76587889999973,phase1
19,0.9031358957290649,0.2805767059326172,0.9090909361839294,0.3104449510574341,0.0003000000142492354,135.24418779999905,phase1
20,0.9163762927055359,0.251032292842865,0.9090909361839294,0.29191404581069946,0.0003000000142492354,126.81357779999962,phase1
21,0.9226480722427368,0.253846675157547,0.9220778942108154,0.27167320251464844,0.0003000000142492354,126.58082160000049,phase1
22,0.9142857193946838,0.2569211423397064,0.9123376607894897,0.29416075348854065,0.0003000000142492354,119.91812550000031,phase1
23,0.9198606014251709,0.2574223279953003,0.9253246784210205,0.27018171548843384,0.0003000000142492354,119.10536289999982,phase1
24,0.9163762927055359,0.24738255143165588,0.9090909361839294,0.27362287044525146,0.0003000000142492354,113.1052221000009,phase1
25,0.9268292784690857,0.23204049468040466,0.9155844449996948,0.2922484278678894,0.0003000000142492354,112.57091070000024,phase1
26,0.9205574989318848,0.23233729600906372,0.9285714030265808,0.25962749123573303,9.999999747378752e-06,134.74696490000133,phase2
27,0.9400696754455566,0.19787921011447906,0.9155844449996948,0.25220951437950134,9.999999747378752e-06,127.28029989999959,phase2
28,0.9407665729522705,0.188310444355011,0.9383116960525513,0.22112199664115906,9.999999747378752e-06,123.55967950000013,phase2
29,0.9365853667259216,0.17665982246398926,0.9350649118423462,0.21793320775032043,9.999999747378752e-06,126.84767759999886,phase2
30,0.9547038078308105,0.14729022979736328,0.9415584206581116,0.19600600004196167,9.999999747378752e-06,125.6864972000003,phase2
31,0.9484320282936096,0.14767979085445404,0.951298713684082,0.19372685253620148,9.999999747378752e-06,129.9062759999997,phase2
32,0.9595818519592285,0.12479591369628906,0.948051929473877,0.1869947612285614,9.999999747378752e-06,122.77983709999899,phase2
33,0.9623693227767944,0.11617685854434967,0.9253246784210205,0.18619844317436218,9.999999747378752e-06,122.11051899999984,phase2
34,0.9679442644119263,0.10697202384471893,0.9577922224998474,0.14827163517475128,9.999999747378752e-06,120.06146859999899,phase2
35,0.9721254110336304,0.098270483314991,0.951298713684082,0.15371887385845184,9.999999747378752e-06,123.62238919999982,phase2
36,0.9763066172599792,0.0893806517124176,0.9545454382896423,0.14342647790908813,9.999999747378752e-06,130.9011819999996,phase2
37,0.9721254110336304,0.09001316130161285,0.9577922224998474,0.13667435944080353,9.999999747378752e-06,131.2407633999992,phase2
38,0.9728223085403442,0.08361008763313293,0.9545454382896423,0.14809826016426086,9.999999747378752e-06,124.0506103000007,phase2
39,0.9804878234863281,0.07194280624389648,0.951298713684082,0.15376298129558563,9.999999747378752e-06,125.49922230000084,phase2
40,0.9804878234863281,0.0700514018535614,0.9545454382896423,0.14070852100849152,2.9999998787388904e-06,127.22307550000005,phase2
