epoch,accuracy,loss,val_accuracy,val_loss,learning_rate,epoch_seconds
1,0.9205574989318848,0.23233729600906372,0.9285714030265808,0.25962749123573303,9.999999747378752e-06,134.74696490000133
2,0.9400696754455566,0.19787921011447906,0.9155844449996948,0.25220951437950134,9.999999747378752e-06,127.28029989999959
3,0.9407665729522705,0.188310444355011,0.9383116960525513,0.22112199664115906,9.999999747378752e-06,123.55967950000013
4,0.9365853667259216,0.17665982246398926,0.9350649118423462,0.21793320775032043,9.999999747378752e-06,126.84767759999886
5,0.9547038078308105,0.14729022979736328,0.9415584206581116,0.19600600004196167,9.999999747378752e-06,125.6864972000003
6,0.9484320282936096,0.14767979085445404,0.951298713684082,0.19372685253620148,9.999999747378752e-06,129.9062759999997
7,0.9595818519592285,0.12479591369628906,0.948051929473877,0.1869947612285614,9.999999747378752e-06,122.77983709999899
8,0.9623693227767944,0.11617685854434967,0.9253246784210205,0.18619844317436218,9.999999747378752e-06,122.11051899999984
9,0.9679442644119263,0.10697202384471893,0.9577922224998474,0.14827163517475128,9.999999747378752e-06,120.06146859999899
10,0.9721254110336304,0.098270483314991,0.951298713684082,0.15371887385845184,9.999999747378752e-06,123.62238919999982
11,0.9763066172599792,0.0893806517124176,0.9545454382896423,0.14342647790908813,9.999999747378752e-06,130.9011819999996
12,0.9721254110336304,0.09001316130161285,0.9577922224998474,0.13667435944080353,9.999999747378752e-06,131.2407633999992
13,0.9728223085403442,0.08361008763313293,0.9545454382896423,0.14809826016426086,9.999999747378752e-06,124.0506103000007
14,0.9804878234863281,0.07194280624389648,0.951298713684082,0.15376298129558563,9.999999747378752e-06,125.49922230000084
15,0.9804878234863281,0.0700514018535614,0.9545454382896423,0.14070852100849152,2.9999998787388904e-06,127.22307550000005
