epoch,accuracy,loss,val_accuracy,val_loss,learning_rate,epoch_seconds
1,0.5707316994667053,1.152930498123169,0.7305194735527039,0.7899894118309021,0.0010000000474974513,146.39895009999964
2,0.7414634227752686,0.7161568999290466,0.8116883039474487,0.6210786700248718,0.0010000000474974513,172.16532199999983
3,0.793728232383728,0.5913792252540588,0.8344155550003052,0.5339787602424622,0.0010000000474974513,153.0409754000002
4,0.8195121884346008,0.5053063631057739,0.8603895902633667,0.4612482786178589,0.0010000000474974513,175.50115670000014
5,0.8229964971542358,0.4809349477291107,0.8766233921051025,0.4115859866142273,0.0010000000474974513,266.95496679999997
6,0.8578397035598755,0.4192020893096924,0.8896104097366333,0.4235665500164032,0.0010000000474974513,116.95206959999996
7,0.8578397035598755,0.41266945004463196,0.8344155550003052,0.4377368688583374,0.0010000000474974513,133.80791109999973
8,0.8717769980430603,0.36617711186408997,0.8863636255264282,0.37833696603775024,0.0010000000474974513,127.24294959999952
9,0.8787456154823303,0.356029212474823,0.8928571343421936,0.3516070246696472,0.0010000000474974513,124.7626205000006
10,0.888501763343811,0.3320271372795105,0.8831169009208679,0.3482738733291626,0.0010000000474974513,134.1768361000013
11,0.8752613067626953,0.3385525643825531,0.8863636255264282,0.3490678369998932,0.0010000000474974513,125.72553300000072
12,0.8878048658370972,0.31694668531417847,0.8733766078948975,0.3690308630466461,0.0010000000474974513,126.13219670000035
13,0.8996515870094299,0.29916825890541077,0.9123376607894897,0.29800769686698914,0.0010000000474974513,126.55382649999956
14,0.8940766453742981,0.3119073510169983,0.9025974273681641,0.30369824171066284,0.0010000000474974513,123.76214000000073
15,0.894773542881012,0.31749027967453003,0.9058441519737244,0.32564815878868103,0.0010000000474974513,132.80108990000008
16,0.9128919839859009,0.2802491784095764,0.8896104097366333,0.311920166015625,0.0010000000474974513,119.16479009999966
17,0.9198606014251709,0.24608983099460602,0.9090909361839294,0.28179872035980225,0.0003000000142492354,146.024180299999
18,0.9233449697494507,0.2551843523979187,0.9220778942108154,0.27901700139045715,0.0003000000142492354,121.76587889999973
19,0.9031358957290649,0.2805767059326172,0.9090909361839294,0.3104449510574341,0.0003000000142492354,135.24418779999905
20,0.9163762927055359,0.251032292842865,0.9090909361839294,0.29191404581069946,0.0003000000142492354,126.81357779999962
21,0.9226480722427368,0.253846675157547,0.9220778942108154,0.27167320251464844,0.0003000000142492354,126.58082160000049
22,0.9142857193946838,0.2569211423397064,0.9123376607894897,0.29416075348854065,0.0003000000142492354,119.91812550000031
23,0.9198606014251709,0.2574223279953003,0.9253246784210205,0.27018171548843384,0.0003000000142492354,119.10536289999982
24,0.9163762927055359,0.24738255143165588,0.9090909361839294,0.27362287044525146,0.0003000000142492354,113.1052221000009
25,0.9268292784690857,0.23204049468040466,0.9155844449996948,0.2922484278678894,0.0003000000142492354,112.57091070000024
